Data,Mandante,Visitante,Gols_Mandante,Gols_Visitante,Resultado,Alvo,Total_Gols,Media_Gols_Mandante,Media_Gols_Visitante
2012-07-15,Sport Recife,Portuguesa,2.0,1.0,H,1.0,3.0,1.0,0.625
2012-07-15,Vasco,Atletico GO,1.0,0.0,H,1.0,1.0,1.875,0.5
2012-07-18,Santos,Botafogo RJ,0.0,0.0,D,0.0,0.0,0.7777777777777778,2.3333333333333335
2012-07-18,Gremio,Sport Recife,3.0,1.0,H,1.0,4.0,1.3333333333333333,1.1111111111111112
2012-07-19,Nautico,Ponte Preta,3.0,0.0,H,1.0,3.0,1.1111111111111112,1.4444444444444444
2012-07-19,Portuguesa,Cruzeiro,0.0,2.0,A,2.0,2.0,0.6666666666666666,1.3333333333333333
2012-07-19,Atletico-MG,Internacional,3.0,1.0,H,1.0,4.0,1.7777777777777777,1.3333333333333333
2012-07-19,Flamengo RJ,Corinthians,0.0,3.0,A,2.0,3.0,1.6666666666666667,0.7777777777777778
2012-07-19,Sao Paulo,Vasco,0.0,1.0,A,2.0,1.0,1.3333333333333333,1.7777777777777777
2012-07-20,Atletico GO,Figueirense,3.0,2.0,H,1.0,5.0,0.4444444444444444,1.2222222222222223
2012-07-20,Coritiba,Palmeiras,1.0,1.0,D,0.0,2.0,1.5555555555555556,0.8888888888888888
2012-07-20,Fluminense,Bahia,4.0,0.0,H,1.0,4.0,1.7777777777777777,0.7777777777777778
2012-07-21,Vasco,Santos,2.0,0.0,H,1.0,2.0,1.7,0.7
2012-07-21,Sport Recife,Atletico-MG,1.0,4.0,A,2.0,5.0,1.1,1.9
2012-07-22,Corinthians,Portuguesa,1.0,1.0,D,0.0,2.0,1.0,0.6
2012-07-22,Cruzeiro,Flamengo RJ,1.0,0.0,H,1.0,1.0,1.4,1.5
2012-07-22,Figueirense,Sao Paulo,0.0,2.0,A,2.0,2.0,1.3,1.2
2012-07-22,Internacional,Atletico GO,4.0,1.0,H,1.0,5.0,1.3,0.7
2012-07-22,Palmeiras,Nautico,3.0,0.0,H,1.0,3.0,0.9,1.3
2012-07-22,Bahia,Coritiba,2.0,2.0,D,0.0,4.0,0.7,1.5
2012-07-22,Botafogo RJ,Gremio,0.0,1.0,A,2.0,1.0,2.1,1.5
2012-07-22,Ponte Preta,Fluminense,1.0,2.0,A,2.0,3.0,1.3,2.0
2012-07-25,Ponte Preta,Sport Recife,1.0,1.0,D,0.0,2.0,1.2727272727272727,1.0909090909090908
2012-07-25,Figueirense,Internacional,0.0,1.0,A,2.0,1.0,1.1818181818181819,1.5454545454545454
2012-07-26,Nautico,Coritiba,3.0,4.0,A,2.0,7.0,1.1818181818181819,1.5454545454545454
2012-07-26,Vasco,Botafogo RJ,1.0,0.0,H,1.0,1.0,1.7272727272727273,1.9090909090909092
2012-07-26,Atletico GO,Sao Paulo,4.0,3.0,H,1.0,7.0,0.7272727272727273,1.2727272727272727
2012-07-26,Corinthians,Cruzeiro,2.0,0.0,H,1.0,2.0,1.0,1.3636363636363635
2012-07-26,Gremio,Fluminense,1.0,0.0,H,1.0,1.0,1.4545454545454546,2.0
2012-07-27,Palmeiras,Bahia,0.0,2.0,A,2.0,2.0,1.0909090909090908,0.8181818181818182
2012-07-27,Atletico-MG,Santos,2.0,0.0,H,1.0,2.0,2.090909090909091,0.6363636363636364
2012-07-27,Flamengo RJ,Portuguesa,0.0,0.0,D,0.0,0.0,1.3636363636363635,0.6363636363636364
2012-07-28,Internacional,Vasco,0.0,0.0,D,0.0,0.0,1.5,1.6666666666666667
2012-07-28,Coritiba,Gremio,2.0,1.0,H,1.0,3.0,1.75,1.4166666666666667
2012-07-29,Botafogo RJ,Figueirense,1.0,0.0,H,1.0,1.0,1.75,1.0833333333333333
2012-07-29,Bahia,Corinthians,0.0,0.0,D,0.0,0.0,0.9166666666666666,1.0833333333333333
2012-07-29,Fluminense,Atletico-MG,0.0,0.0,D,0.0,0.0,1.8333333333333333,2.0833333333333335
2012-07-29,Sao Paulo,Flamengo RJ,4.0,1.0,H,1.0,5.0,1.4166666666666667,1.25
2012-07-29,Sport Recife,Atletico GO,0.0,0.0,D,0.0,0.0,1.0833333333333333,1.0
2012-07-29,Cruzeiro,Palmeiras,2.0,1.0,H,1.0,3.0,1.25,1.0
2012-07-29,Portuguesa,Nautico,3.0,1.0,H,1.0,4.0,0.5833333333333334,1.3333333333333333
2012-07-29,Santos,Ponte Preta,2.0,1.0,H,1.0,3.0,0.5833333333333334,1.25
2012-08-04,Atletico GO,Botafogo RJ,1.0,2.0,A,2.0,3.0,0.9230769230769231,1.6923076923076923
2012-08-04,Palmeiras,Internacional,0.0,1.0,A,2.0,1.0,1.0,1.3846153846153846
2012-08-05,Nautico,Santos,3.0,0.0,H,1.0,3.0,1.3076923076923077,0.6923076923076923
2012-08-05,Cruzeiro,Ponte Preta,1.0,2.0,A,2.0,3.0,1.3076923076923077,1.2307692307692308
2012-08-05,Vasco,Corinthians,0.0,0.0,D,0.0,0.0,1.5384615384615385,1.0
2012-08-05,Portuguesa,Figueirense,2.0,0.0,H,1.0,2.0,0.7692307692307693,1.0
2012-08-05,Gremio,Bahia,3.0,1.0,H,1.0,4.0,1.3846153846153846,0.8461538461538461
2012-08-05,Coritiba,Fluminense,0.0,2.0,A,2.0,2.0,1.7692307692307692,1.6923076923076923
2012-08-05,Sao Paulo,Sport Recife,1.0,0.0,H,1.0,1.0,1.6153846153846154,1.0
2012-08-08,Internacional,Nautico,0.0,0.0,D,0.0,0.0,1.3571428571428572,1.4285714285714286
2012-08-08,Sport Recife,Vasco,0.0,2.0,A,2.0,2.0,0.9285714285714286,1.4285714285714286
2012-08-09,Santos,Cruzeiro,4.0,2.0,H,1.0,6.0,0.6428571428571429,1.2857142857142858
2012-08-09,Figueirense,Flamengo RJ,0.0,2.0,A,2.0,2.0,0.9285714285714286,1.2307692307692308
2012-08-09,Bahia,Portuguesa,0.0,0.0,D,0.0,0.0,0.8571428571428571,0.8571428571428571
2012-08-09,Corinthians,Atletico GO,1.0,1.0,D,0.0,2.0,0.9285714285714286,0.9285714285714286
2012-08-09,Botafogo RJ,Palmeiras,1.0,2.0,A,2.0,3.0,1.7142857142857142,0.9285714285714286
2012-08-10,Atletico-MG,Coritiba,1.0,0.0,H,1.0,1.0,1.9230769230769231,1.6428571428571428
2012-08-10,Fluminense,Sao Paulo,2.0,1.0,H,1.0,3.0,1.7142857142857142,1.5714285714285714
2012-08-10,Ponte Preta,Gremio,0.0,0.0,D,0.0,0.0,1.2857142857142858,1.5
2012-08-11,Bahia,Cruzeiro,0.0,1.0,A,2.0,1.0,0.8,1.3333333333333333
2012-08-11,Santos,Atletico GO,2.0,2.0,D,0.0,4.0,0.8666666666666667,0.9333333333333333
2012-08-11,Sport Recife,Figueirense,0.0,1.0,A,2.0,1.0,0.8666666666666667,0.8666666666666667
